Dev,Species,Abbrev,Gene,TMMsum,Dev,Species,Gene,TMMsum
60,QM25,QM2560A,DFR,64.839,60,QM25,DFR,64.839
60,QM25,QM2560B,DFR,42.715,85,QM25,DFR,316.953
60,QM25,QM2560C,DFR,68.975,95,QM25,DFR,291.722
85,QM25,QM2585A,DFR,316.953,60,QM25,FLS,575.529
85,QM25,QM2585B,DFR,187.886,85,QM25,FLS,362.144
85,QM25,QM2585C,DFR,387.738,95,QM25,FLS,126.979
95,QM25,QM2595A,DFR,380.35,60,QM25,F3pH,152.195
95,QM25,QM2595B,DFR,291.722,85,QM25,F3pH,112.391
95,QM25,QM2595C,DFR,226.799,95,QM25,F3pH,128.994
60,QM25,QM2560A,FLS,575.529,,,,
60,QM25,QM2560B,FLS,385.083,,,,
60,QM25,QM2560C,FLS,685.415,,,,
85,QM25,QM2585A,FLS,362.144,,,,
85,QM25,QM2585B,FLS,265.239,,,,
85,QM25,QM2585C,FLS,427.724,,,,
95,QM25,QM2595A,FLS,221.617,,,,
95,QM25,QM2595B,FLS,126.979,,,,
95,QM25,QM2595C,FLS,102.078,,,,
60,QM25,QM2560A,F3pH,223.456,,,,
60,QM25,QM2560B,F3pH,114.571,,,,
60,QM25,QM2560C,F3pH,152.195,,,,
85,QM25,QM2585A,F3pH,177.133,,,,
85,QM25,QM2585B,F3pH,110.738,,,,
85,QM25,QM2585C,F3pH,112.391,,,,
95,QM25,QM2595A,F3pH,96.869,,,,
95,QM25,QM2595B,F3pH,128.994,,,,
95,QM25,QM2595C,F3pH,167.919,,,,
